"position.rank","passing.yards","passing.tds","passing.interceptions","rushing.rushes","rushing.yards","rushing.tds","receiving.catches","receiving.yards","receiving.tds","total.points","passing.completions","passing.attempts","name","team","pos","rank"
74,0,0,0,0,0,0,36,513,3,67,0,0,"Jordan Matthews","PHI","WR",253
51,0,0,0,94,402,3,9,70,0,65,0,0,"James Starks","GB","RB",254
54,0,0,0,89,362,4,12,71,0,65,0,0,"Knile Davis","KC","RB",254
58,0,0,0,110,448,3,8,59,0,65,0,0,"Jonathan Dwyer","ARI","RB",254
76,0,0,0,0,0,0,38,497,3,65,0,0,"Santonio Holmes","NYJ","WR",254
84,0,0,0,5,28,0,29,452,3,65,0,0,"Ted Ginn","ARI","WR",254
70,0,0,0,47,216,1,42,398,0,64,0,0,"Marcel Reece","OAK","RB",259
24,0,0,0,0,0,0,29,345,5,64,0,0,"Austin Seferian-Jenkins","TB","TE",259
47,0,0,0,86,326,4,21,112,0,63,0,0,"Andre Brown","HOU","RB",261
61,0,0,0,78,309,2,21,174,1,63,0,0,"Ka'Deem Carey","CHI","RB",261
50,0,0,0,109,391,4,2,11,0,62,0,0,"LeGarrette Blount","PIT","RB",263
53,0,0,0,101,456,2,9,74,0,62,0,0,"Christine Michael","SEA","RB",263
83,0,0,0,3,13,0,42,431,3,62,0,0,"Eddie Royal","SD","WR",263
85,0,0,0,2,10,0,35,390,4,62,0,0,"Nate Burleson","CLE","WR",263
27,0,0,0,0,0,0,39,440,3,62,0,0,"Ryan Griffin","HOU","TE",263
52,0,0,0,89,403,1,13,106,1,60,0,0,"Latavius Murray","OAK","RB",268
81,0,0,0,0,0,0,33,363,4,60,0,0,"Marlon Brown","BAL","WR",268
88,0,0,0,0,0,0,36,476,2,59,0,0,"Jarvis Landry","MIA","WR",270
92,0,0,0,0,0,0,34,432,3,59,0,0,"Greg Little","OAK","WR",270
57,0,0,0,76,302,1,20,154,1,57,0,0,"Jonathan Stewart","CAR","RB",272
20,0,0,0,0,0,0,35,411,3,57,0,0,"Dwayne Allen","IND","TE",272
86,0,0,0,3,26,0,31,386,3,56,0,0,"Jerrel Jernigan","NYG","WR",274
25,0,0,0,0,0,0,31,376,3,55,0,0,"Jace Amaro","NYJ","TE",275
31,0,0,0,0,0,0,42,439,2,55,0,0,"Scott Chandler","BUF","TE",275
64,0,0,0,58,276,2,23,176,0,54,0,0,"Devonta Freeman","ATL","RB",277
95,0,0,0,0,0,0,46,423,2,54,0,0,"Cole Beasley","DAL","WR",277
22,0,0,0,0,0,0,33,341,3,52,0,0,"Owen Daniels","BAL","TE",279
28,0,0,0,0,0,0,31,338,3,51,0,0,"Garrett Graham","HOU","TE",280
91,0,0,0,5,21,0,45,423,1,50,0,0,"Ace Sanders","JAC","WR",281
29,0,0,0,0,0,0,38,387,2,50,0,0,"Andrew Quarless","GB","TE",281
30,0,0,0,0,0,0,32,324,3,50,0,0,"Jermaine Gresham","CIN","TE",281
68,0,0,0,87,380,2,3,14,0,49,0,0,"Mike James","TB","RB",284
82,0,0,0,50,239,2,15,88,1,49,0,0,"Lance Dunbar","DAL","RB",284
38,884,6,8,17,59,1,0,0,0,48,79,142,"Blake Bortles","JAC","QB",286
98,0,0,0,0,0,0,27,380,2,48,0,0,"Martavis Bryant","PIT","WR",286
100,0,0,0,5,24,0,39,361,2,48,0,0,"Mohamed Sanu","CIN","WR",286
33,0,0,0,0,0,0,35,420,1,48,0,0,"Adrien Robinson","NYG","TE",286
38,0,0,0,0,0,0,36,368,2,48,0,0,"Marcedes Lewis","JAC","TE",286
39,0,0,0,0,0,0,30,365,2,48,0,0,"Travis Kelce","KC","TE",286
40,0,0,0,0,0,0,30,355,2,47,0,0,"Brent Celek","PHI","TE",292
65,0,0,0,65,285,2,12,81,0,46,0,0,"Carlos Hyde","SF","RB",293
66,0,0,0,64,300,2,9,64,0,46,0,0,"Kendall Hunter","SF","RB",293
78,0,0,0,37,145,0,38,287,1,46,0,0,"Jacquizz Rodgers","ATL","RB",293
96,0,0,0,0,0,0,35,361,2,46,0,0,"Jason Avant","CAR","WR",293
34,0,0,0,0,0,0,26,334,2,45,0,0,"Brandon Bostick","GB","TE",297
36,0,0,0,0,0,0,34,390,1,45,0,0,"Zach Miller","SEA","TE",297
75,0,0,0,54,250,2,15,76,0,44,0,0,"Brandon Bolden","NE","RB",299
77,0,0,0,74,296,1,17,109,0,43,0,0,"Vick Ballard","IND","RB",300
90,0,0,0,0,0,0,26,334,2,43,0,0,"Davante Adams","GB","WR",300
23,0,0,0,0,0,0,28,313,2,43,0,0,"Jermichael Finley","GB","TE",300
32,0,0,0,0,0,0,24,257,3,43,0,0,"Brandon Pettigrew","DET","TE",300
91,0,0,0,60,232,1,20,131,0,42,0,0,"Bilal Powell","NYJ","RB",304
97,0,0,0,0,0,0,22,321,2,42,0,0,"Miles Austin","CLE","WR",304
35,0,0,0,0,0,0,27,300,2,42,0,0,"Rob Housler","ARI","TE",304
35,765,5,5,11,32,0,0,0,0,41,65,106,"Brian Hoyer","CLE","QB",307
